report_date,active_users,total_purchase,total_redeem,direct_purchase,purchase_bal,purchase_bank,total_share,total_consume,total_transfer,total_tftobal,total_tftocard,cat1_total,cat2_total,cat3_total,cat4_total,avg_balance,avg_yesterday_balance
20130701,441,32488348,5525022,32458786,21250722,11208064,29562,382160,5142862,5142862,0,0,89350,0,292810,572172.0204081633,511030.69160997734
20130702,480,29037390,2554548,29007510,16561183,12446327,29880,350066,2204482,2204482,0,0,1650,0,348416,580855.63125,525683.04375
20130703,499,27270770,5953867,27234156,20493660,6740496,36614,454406,5499461,5499461,0,0,69764,0,384642,601458.128256513,558738.8837675351
20130704,523,18321185,6410729,18282230,12108178,6174052,38955,535391,5875338,5875338,0,25078,107500,0,402813,596631.0936902486,573857.7552581262
20130705,544,11648749,2763587,11607991,6930431,4677560,40758,697926,2065661,2065661,0,0,51100,0,646826,589932.3970588235,573599.3786764706
20130706,553,36751272,1616635,36709190,31533483,5175707,42082,300533,1316102,1316102,0,0,21800,0,278733,643865.9330922242,580331.3273056058
20130707,566,8962232,3982735,8920335,5257768,3662567,41897,336880,3645855,3645855,0,0,0,0,336880,637875.1908127208,629077.4929328621
20130708,580,57258266,8347729,57218409,47490938,9727471,39857,852530,7495199,7495199,0,219851,3500,0,629179,706806.7155172414,622478.2034482759
20130709,614,26798941,3473059,26755943,21541164,5214779,42998,765509,2707550,2707550,0,60000,0,0,705509,705657.6172638437,667667.5814332247
20130710,619,30696506,2597169,30644691,20475437,10169254,51815,603737,1993432,1993432,0,8000,267500,0,328237,745352.3651050081,699957.6365105008
20130711,658,44075197,3508800,44021031,38701392,5319639,54166,981695,2527105,2527105,0,325455,2194,0,654046,762826.0045592706,701174.9452887538
20130712,677,34183904,8492573,34126845,28358933,5767912,57059,1371072,7121501,7121501,0,483604,173268,0,714200,779366.0886262924,741417.2983751846
20130713,694,15164717,3482829,15103661,8461168,6642493,61056,309654,3173175,3173175,0,0,45584,0,264070,777107.6801152738,760274.9884726225
20130714,697,22615303,2784107,22554354,18447507,4106847,60949,592038,2192069,2192069,0,0,182560,0,409478,802215.1018651363,773762.8837876614
20130715,714,48128555,13107943,48069686,28401224,19668462,58869,1521794,11586149,11586149,0,679000,222000,0,620794,832163.218487395,783114.7422969188
20130716,739,50622847,11864981,50559618,39657799,10901819,63229,1529687,10335294,10335294,0,744302,60000,0,725385,856457.9215155615,804011.553450609
20130717,765,29015682,10911513,28946382,25167271,3779111,69300,2109498,8802015,8802015,0,1348120,50000,0,711378,851015.1281045752,827349.5477124183
