report_date,total_purchase,total_redeem,active_users,purchase_users,redeem_users,purchase_user_ratio,redeem_user_ratio,total_balance,avg_balance,year,month,day,day_of_week,is_weekend,mfd_daily_yield,Interest_O_N,shibor_spread_1M_O_N,net_flow,total_purchase_lag_1,total_purchase_lag_2,total_purchase_lag_3,total_purchase_lag_7,total_purchase_roll_7d_avg,total_purchase_roll_7d_std,total_purchase_roll_14d_avg,total_purchase_roll_14d_std,total_purchase_momentum_7v30,total_redeem_lag_1,total_redeem_lag_2,total_redeem_lag_3,total_redeem_lag_7,total_redeem_roll_7d_avg,total_redeem_roll_7d_std,total_redeem_roll_14d_avg,total_redeem_roll_14d_std,total_redeem_momentum_7v30,active_users_lag_1,active_users_lag_2,active_users_lag_3,active_users_lag_7,active_users_roll_7d_avg,active_users_roll_7d_std,active_users_roll_14d_avg,active_users_roll_14d_std,active_users_momentum_7v30
20140101,127948836,10713586,1616,1145,148,0.7085396039603961,0.09158415841584158,2507533347,1551691.4275990098,2014,1,1,4,0,1.7807,0.0,0.0,117235250,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
20140102,111950731,59332001,1605,1134,149,0.7065420560747664,0.09283489096573208,2582539950,1609059.1588785048,2014,1,2,5,0,1.8092,3.131,2.7790000000000004,52618730,127948836,0,0,0,127948836.0,0.0,127948836.0,0.0,1.0,10713586,0,0,0,10713586.0,0.0,10713586.0,0.0,1.0,1616,0,0,0,1616.0,0.0,1616.0,0.0,1.0
20140103,133884921,41755902,1580,1119,172,0.7082278481012658,0.10886075949367088,2695222672,1705837.1341772152,2014,1,3,6,0,1.7847,3.006,3.195,92129019,111950731,127948836,0,0,119949783.5,11312368.531634413,119949783.5,11312368.531634413,1.0,59332001,10713586,0,0,35022793.5,34378410.93704176,35022793.5,34378410.93704176,1.0,1605,1616,0,0,1610.5,7.7781745930520225,1610.5,7.7781745930520225,1.0
20140104,36602666,19169651,1587,1108,130,0.6981726528040327,0.08191556395715185,2411806731,1519726.988657845,2014,1,4,7,1,1.7751,3.006,3.195,17433015,133884921,111950731,127948836,0,124594829.33333333,11345227.77554767,124594829.33333333,11345227.77554767,1.0,41755902,59332001,10713586,0,37267163.0,24618065.574606933,37267163.0,24618065.574606933,1.0,1580,1605,1616,0,1600.3333333333333,18.448125469362285,1600.3333333333333,18.448125469362285,1.0
20140105,67025527,13040599,1666,1193,129,0.7160864345738295,0.07743097238895558,3039548545,1824458.9105642256,2014,1,5,1,1,1.7748,3.006,3.195,53984928,36602666,133884921,111950731,0,102596788.5,44960701.331340924,102596788.5,44960701.331340924,1.0,19169651,41755902,59332001,0,32742785.0,22043428.807045892,32742785.0,22043428.807045892,1.0,1587,1580,1605,0,1597.0,16.472198800807767,1597.0,16.472198800807767,1.0
20140106,144332663,34774573,1616,1128,142,0.698019801980198,0.08787128712871287,2604783337,1611870.8768564356,2014,1,6,2,0,1.774,2.92,3.5549999999999997,109558090,67025527,36602666,133884921,0,95482536.2,42061400.67918338,95482536.2,42061400.67918338,1.0,13040599,19169651,41755902,0,28802347.8,21025455.80514712,28802347.8,21025455.80514712,1.0,1666,1587,1580,0,1610.8,33.99558794902656,1610.8,33.99558794902656,1.0
20140107,140279410,33168464,1670,1149,138,0.6880239520958084,0.08263473053892216,3026808871,1812460.4017964073,2014,1,7,3,0,1.8086,2.875,3.05,107110946,144332663,67025527,36602666,0,103624224.0,42579943.906396344,103624224.0,42579943.906396344,1.0,34774573,13040599,19169651,0,29797718.666666668,18963132.98019629,29797718.666666668,18963132.98019629,1.0,1616,1666,1587,0,1611.6666666666667,30.48059491982836,1611.6666666666667,30.48059491982836,1.0
20140108,67307595,62223553,1726,1221,157,0.7074159907300116,0.09096176129779837,2933553711,1699625.5567786791,2014,1,8,4,0,1.822,2.83,2.8200000000000003,5084042,140279410,144332663,67025527,127948836,108860679.14285715,41265234.63888177,108860679.14285715,41265234.63888177,1.0,33168464,34774573,13040599,10713586,30279253.714285713,17357711.32288006,30279253.714285713,17357711.32288006,1.0,1670,1616,1666,1616,1620.0,35.50117368951815,1620.0,35.50117368951815,1.0
20140109,111086202,36926907,1768,1246,197,0.7047511312217195,0.11142533936651584,3264672465,1846534.1996606335,2014,1,9,5,0,1.7647,2.794,3.52,74159295,67307595,140279410,144332663,111950731,100197644.71428572,42922180.45451168,103666543.625,40931552.60461797,0.9665379129137114,62223553,33168464,34774573,59332001,37637820.428571425,18557676.890081186,34272291.125,19641880.65246229,1.0981997174130105,1726,1670,1616,1605,1635.7142857142858,53.31264479687815,1633.25,49.84762496133313,1.0015088233364677
20140110,60408018,22059958,1648,1183,152,0.7178398058252428,0.09223300970873786,3040349465,1844872.2481796117,2014,1,10,6,0,1.7878,2.766,2.909,38348060,111086202,67307595,140279410,133884921,100074140.57142857,42883952.553042695,104490950.1111111,38367757.47011559,0.9577302193636301,36926907,62223553,33168464,41755902,34437092.71428572,15939884.730188178,34567248.44444445,18394592.670198504,0.9962347095584447,1768,1726,1670,1580,1659.0,70.49113419430846,1648.2222222222222,64.74329652129599,1.00653903195362
